jiu5-hi5	鰇魚
tshun-lun5	伸lun5
tshun-lun5	伸圇
tshun-mui5	春梅
tshun-niu5	春糧
tshun-piann2	春餅
tshun-png7	賰飯
tshun-se	春紗
tshun-sia7	春社
tshun-siann7	春榭
tshun-siau	春宵
tshun-sik	春色
tshun-sim	春心
tshun-sin3	春信
tshun-sin3	春訊
tshun-sun2	春筍
tshun-te5	春茶
tshun-thau5	伸頭
tshun-thau5	春頭
tshun-thinn	春天
tshun-tian2	伸展
tshun-tiong5	tshun長
tshun-tit8	伸直
tshun-tiu5	春綢
tshun-tng5	伸長
tshun-tse3	春祭
tshun-tshai3	春菜
tshun-tsham5	春蠶
tshun-tshau2	春草
tshun-tshiu	春秋
tshun-tshiu2	伸手
tshun-tshua2	伸tshua2
tshun-tsi2	春tsi2
tshun-tsi2	春子
tshun-tsing5	春情
tshun-tsinn5	賰錢
tshun-tsiu2	春酒
tshun-tsu2	春子
tshun-u2	春雨
tshun-ua7	春畫
tshun-ue7	春畫
tshun-ui5	春闈
tshun-un5	伸勻
tshun2-pun7	蠢笨
tshun2-tok8	忖度
tshun3-im	寸陰
tshun3-poo7	寸步
tshun3-sim	寸心
tshun3-thih	寸鐵
tshun3-thoo2	寸土
tshun3-tiong	寸衷
tshun3-tshak8	寸鑿
tshun3-tshioh	寸尺
tshun3-tshun3	寸寸
tshun3-tsi3	寸志
tshun3-tso2	寸棗
tshun3-tuan7	寸斷
tshun5-au7	存後
tshun5-i3	存意
tshun5-khng3	存khng3
tshun5-king3	尊(存)敬
tshun5-mia7	存命
tshun5-pan7	存辦
tshun5-si2	存死
tshun5-sim	存心
tshun5-tsinn5	存錢
tshun7-si2	tshun死7
tshut--khi3	出--去
tshut--lai5	出--來
tshut-be2	出尾
tshut-be2	出馬
tshut-be7	出賣
tshut-bi2	出米
tshut-bi7	出味
tshut-bin7	出面
tshut-bue2	出尾
tshut-bue7	出賣
tshut-but8	出沒
tshut-eh	出厄
tshut-gak8	出獄
tshut-ge5	出芽
tshut-geh8	出月
tshut-giah8	出額
tshut-giap8	出業
tshut-gua7	出外
tshut-guan7	出願
tshut-gueh8	出月
tshut-gun5	出銀
tshut-hai2	出海
tshut-he2	出火
tshut-he3	出貨
tshut-hi3	出戲
tshut-hian7	出現
tshut-hiat	出血
tshut-hing5	出行
tshut-hiong3	出餉
tshut-hok8	出服
tshut-hong	出風
tshut-hu2	出府
tshut-huat	出發
tshut-hue2	出火
tshut-hue3	出貨
tshut-hueh	出血
tshut-huih	出血
tshut-hun	出薰
tshut-hun5	出痕
tshut-i5	出於
tshut-ian	出煙
tshut-ian2	出演
tshut-inn7	出院
tshut-iu5	出遊
tshut-iunn5	出洋
tshut-ji7	出字
tshut-jim7	出任
tshut-jip8	出入
tshut-jit8	出日
tshut-ju7	出諭
tshut-ka3	出駕
tshut-kang	出工
tshut-kang2	出港
tshut-kann	出監
tshut-kau3	出教
tshut-ke	出家
tshut-ke	出街
tshut-ke3	出價
tshut-ke3	出嫁
tshut-khau2	出口
tshut-kheh	出客
tshut-kheh	出缺
tshut-khi3	出去
tshut-khi3	出氣
tshut-khin5	出勤
tshut-khing7	出虹
tshut-kho2	出考
tshut-khu3	出去
tshut-khuat	出缺
tshut-khueh	出缺
tshut-khui3	出氣
tshut-khun5	出勤
tshut-ki	出乩
tshut-ki5	出奇
tshut-kiah	出kiah
tshut-kiat	出結
tshut-kik	出擊
tshut-kim3	出禁
tshut-king2	出境
tshut-kio7	出轎
tshut-kioh	出腳
tshut-kiok8	出局
tshut-kiong	出恭
tshut-kiong2	出拱
tshut-kng	出光
tshut-kok	出國
tshut-kong3	出貢
tshut-kuan	出棺
tshut-kuan	出關
tshut-kuann	出官
tshut-kuann7	出汗
tshut-kui	出閨
tshut-kui2	出軌
tshut-kui2	出鬼
tshut-kui3	出貴
tshut-kun	出軍
tshut-kut	出骨
tshut-lai5	出來
tshut-lam	出籠
tshut-lam5	出藍
tshut-lang5	出膿
tshut-lap8	出納
tshut-lat8	出力
tshut-loo5	出爐
tshut-loo7	出路
tshut-lui7	出類
tshut-mia5	出名
tshut-mng5	出門
tshut-mua5	出麻
tshut-niu5	出糧
tshut-nng7	出卵
tshut-oh8	出學
tshut-pak	出腹
tshut-pak8	出縛
tshut-pan	出斑
tshut-pan2	出版
tshut-pan7	出pan7
tshut-pan7	出範
tshut-pauh	出pauh
tshut-phang5	出帆
tshut-phang5	出篷
tshut-phiah8	出癖
tshut-phin2	出品
tshut-phio3	出票
tshut-phua3	出破
tshut-pin3	出殯
tshut-ping	出兵
tshut-png2	出榜
tshut-po2	出寶
tshut-poo7	出步
tshut-pun2	出本
tshut-sai	出司
tshut-sai	出師
tshut-sai3	出使
tshut-sai3	出賽
tshut-san	出山
tshut-san2	出產
tshut-sau3	出哨
tshut-se3	出世
tshut-se3	出稅
tshut-senn	出生
tshut-si3	出世
tshut-si7	出示
tshut-sia	出賒
tshut-siann	出聲
tshut-siau3	出賬
tshut-sik	出息
tshut-sik	出色
tshut-sik8	出席
tshut-sim2	出審
tshut-sin	出身
tshut-sin5	出神
tshut-sin7	出剩
tshut-sing	出生
tshut-sing7	出剩
tshut-sinn	出生
tshut-siu	出收
tshut-siu2	出首
tshut-siu3	出首
tshut-siu5	出售
tshut-siu7	出巢
tshut-sng5	出床
tshut-song5	出song5
tshut-song5	出傖
tshut-soo2	出所
tshut-soo3	出訴
tshut-su	出書
tshut-su5	出嗣
tshut-su7	出事
tshut-su7	出仕
tshut-suann	出山
tshut-sui7	出穗
tshut-sun5	出巡
tshut-tai5	出台
tshut-tang7	出重
tshut-tann3	出擔
tshut-tau7	出痘
tshut-te5	出題
tshut-thau5	出頭
tshut-thau5	齣頭
tshut-thian	出天
tshut-thiann	出廳
tshut-thio	出挑
tshut-thoo2	出土
tshut-thuat	出脫
tshut-ti7	出佇
tshut-tian2	出典
tshut-tiau5	出tiau5
tshut-tin7	出陣
tshut-ting	出丁
tshut-ting	出燈
tshut-ting5	出庭
tshut-ting5	出廷(庭)
tshut-tioh	出tioh
tshut-tioh	出挓
tshut-tioh	出擢
tshut-tiong3	出脹
tshut-tiunn	出張
tshut-tiunn5	出場
tshut-tng5	出長
tshut-too7	出道
tshut-tong7	出動
tshut-tsai7	出在
tshut-tsap8	出十
tshut-tshai	出差
tshut-tshai3	出菜
tshut-tshau2	出草
tshut-tshe	出妻
tshut-tshe	出差
tshut-tshe	出炊
tshut-tshe2	出髓
tshut-tshenn	出青
tshut-tshiann2	出請
tshut-tshiau	出超
tshut-tshinn	出青
tshut-tshiu2	出手
tshut-tshiu2	出醜
tshut-tshiunn2	出廠
tshut-tsho3	出錯
tshut-tshu2	出取
tshut-tshu3	出厝
tshut-tshu3	出處
tshut-tshuan3	出串
tshut-tshue	出炊
tshut-tshui3	出喙
tshut-tshun	出伸
tshut-tshut	出出
tshut-tsian3	出戰
tshut-tsiang2	出掌
tshut-tsiann	出正
tshut-tsiann5	出成
tshut-tsiau	出招
tshut-tsik	出蹟
tshut-tsin2	出疹
tshut-tsing	出征
tshut-tsing3	出眾
tshut-tsinn5	出錢
tshut-tsio	出招
tshut-tsioh	出借
tshut-tsiong2	出掌
tshut-tsiong3	出將
tshut-tsiong3	出眾
tshut-tsit8	出一
tshut-tsiu2	出酒
tshut-tsng	出庄
tshut-tsong3	出葬
tshut-tsoo	出租
tshut-tsu	出珠
tshut-tsu	出資
tshut-tsu7	出自
tshut-tsue7	出罪
tshut-tsui2	出水
tshut-tsun5	出船
tshut-tu3	出注
tshut-tuann	出單
tshut-tue5	出兌
tshut-tue5	出蹄
tshut-tue5	出題
tshut-u5	出於
tshut-ui5	出圍
tshut-un7	出運
tshut-un7	出韻
u-a2	噎仔
u-jiam2	污染
u-khu	迂拘
u-kim	於今
u-thu5	迂躇
u-tsuat	迂拙
u-tsui2	汙水
u-tsut8	於朮
u2-ik8	羽翼
u2-jiong5	羽絨
u2-kai3	雨蓋
u2-ki5	雨期
u2-king2	雨景
u2-kiu5	羽球
u2-lim5	雨林
u2-lin5	羽綾
u2-liong3	雨量
u2-liong5	羽絨
u2-lo5	羽羅
u2-loo7	雨露
u2-moo5	羽毛
u2-oo7	u2-o7
u2-ong5	禹王
u2-poo3	羽布
u2-sai3	與賽
u2-se	羽紗
u2-sik	羽飾
u2-sin5	雨神
u2-sinn3	羽扇
u2-su	雨師
u2-sui2	雨水
u2-sun7	風調雨順
u2-thian	雨天
u2-tiu5	羽綢
u2-tiu7	宇宙
u2-tshia5	雨斜
u2-tsing5	雨前
u2-tuan7	羽緞
u3-bi7	污味
u3-e3	污穢
u3-hiat	污血
u3-hoo7	u號3
u3-hoo7	煦號
u3-hun5	u痕3
u3-in3	煦印
u3-jiam2	污染
u3-jiok8	污辱
u3-khi3	污氣
u3-lai7	澳內
u3-liang5	u涼3
u3-ping	煦冰
u3-poo3	污布
u3-sio	煦燒
u3-tam5	污tam5
u3-tiam2	污點
u3-tioh8	污著
u3-tsak	污齪
u3-tsu3	污漬
u3-tsui2	污水
u3-tue2	煦底
u3-ue3	污穢
u5-giah8	餘額
u5-gian5	餘言
u5-gua7	餘外
u5-hing3	餘興
u5-i2	予以
u5-lik8	餘力
u5-lun7	輿論
u5-pho	餘波
u5-se3	餘勢
u5-sin7	餘剩
u5-te7	餘地
u5-tiann5	輿呈
u5-tik8	餘澤
u5-ting	餘丁
u5-tong2	餘黨
u5-tsia2	餘者
u5-tue7	餘地
u5-un7	(文)/(白)韻味e尾liu。5
u7--tsia2	餘--者
u7-bah	有肉
u7-bang7	有望
u7-bin7	有面
u7-bo5	有無
u7-boo5	預謀
u7-e5	有的
u7-gan2	有眼
u7-ge7	有藝
u7-gi7	有義
u7-giah8	有額
u7-gian5	預言
u7-ha3	有孝
u7-ha7	有下
u7-hah8	有合
u7-ham5	有含
u7-hau3	有孝
u7-hau7	有效
u7-he3	有歲
u7-hi5	有魚
u7-hing5	有形
u7-hing5	有雄
u7-hing7	有行
u7-ho2	有好
u7-hok	有福
u7-hok8	有服
u7-hong	有風
u7-hong5	預防
u7-hoo7	預後
u7-hu3	預付
u7-hue	有花
u7-hue3	有歲
u7-hun5	有痕
u7-hun7	有份
u7-ian2	預演
u7-ian5	有緣
u7-iann2	有影
u7-ing2	有湧
u7-ing5	有閒
u7-ing7	有用
u7-iok	預約
u7-ji5	有如
u7-ji7	有字
u7-jit8	有日
u7-ju5	有如
u7-kam2	預感
u7-kang	有工
u7-kau3	有夠
u7-ke3	有價
u7-ke3	預計
u7-khah	有較
u7-khang	有空
u7-khe	預科
u7-kho	預科
u7-khuan2	有款
u7-ki5	預期
u7-kian3	預見
u7-king2	有景
u7-king2	預警
u7-kiok8	有局
u7-kiu3	有救
u7-koo3	預告
u7-koo2	預估
u7-koo2	預購
u7-kua2	有寡
u7-kuan5	有權
u7-kui3	有貴
u7-kui7	有懷
u7-lai7	有利
u7-lang5	有人
u7-lat8	有力
u7-li2	有理
u7-liang7	有量
u7-liau7	預料
u7-liong7	有量
u7-loo7	有路
u7-lui	有鐳
u7-mia5	有名
u7-mng5	有毛
u7-nai7	有耐
u7-ng3	有向
u7-pan2	有板
u7-pan7	有範
u7-penn	有拼
u7-penn	有繃
u7-penn7	有病
u7-pha7	有pha7
u7-pha7	有抱
u7-phenn	有偏
u7-phinn	有偏
u7-phoo2	有譜
u7-phuann7	有伴
u7-pi7	預備
u7-pian7	有便
u7-piann3	有拚
u7-pinn7	有病
u7-poo3	預報
u7-poh	有博
u7-poo2	有補
u7-poo7	有步
u7-puann5	有盤
u7-sai3	預賽
u7-si5	有時
u7-sian	預先
u7-siann	有聲
u7-siann3	有聖
u7-siau	有銷
u7-siau3	有數
u7-sim	有心
u7-sim2	預審
u7-sin	有身
u7-sin5	有神
u7-suan2	預選
u7-suan3	預算
u7-sui	有嘴
u7-tang3	有當
u7-tang7	有重
u7-tann2	有膽
u7-te2	有底
u7-te3	有te3
u7-thang	有通
u7-the	有胎
u7-thinn	有天
u7-ti	預知
u7-tiau7	有調
u7-tiau7	預兆
u7-tik	有德
u7-ting7	豫定
u7-ting7	預定
u7-tioh8	有著
u7-tiong2	有長
u7-tit	有得
u7-tng2	有轉
u7-tng5	有長
u7-tok8	有毒
u7-tong3	有擋
u7-tshik	預測
u7-tshing7	有穿
u7-tshun	有剩
u7-tsiah8	有食
u7-tsing2	有種
u7-tsing5	有情
u7-tsinn5	有錢
u7-tsioh	預借
u7-tsiok	預祝
u7-tsuann2	有泉
u7-tsue7	有罪
u7-tsun7	有時陣
u7-tu3	有亍
u7-tue2	有底
u7-un5	有勻
ua-a2	哇仔
ua-ke	哇雞
ua-kue	哇雞
ua-kue	娃雞
ua2--lai5	倚--來
ua2--lang5	倚--人
ua2-am3	倚暗
ua2-beh	倚欲
ua2-hai2	倚海
ua2-hang5	倚行
ua2-huann7	倚岸
ua2-i3	倚意
ua2-ing2	倚影
ua2-iunn7	倚樣
ua2-ke	倚街
ua2-kin7	倚近
ua2-kue	倚街
ua2-kun7	倚近
ua2-li2	倚理
ua2-lua7	倚賴
ua2-ni5	倚年
ua2-nua7	倚賴
ua2-ong7	倚旺
ua2-phing7	倚並
ua2-piah	倚壁
ua2-pinn	倚邊
ua2-png7	倚傍
ua2-se3	倚勢
ua2-si3	倚勢
ua2-sin	倚身
ua2-su	瓦斯
ua2-suh	瓦斯
ua2-tiong7	倚重
ua2-tseh	倚節
ua2-tshia	倚車
ua2-tsiah8	倚食
ua2-tsik8	倚籍
ua2-tsueh	倚節
ua2-tsun5	倚船
ua2-tua7	倚舵
ua2-ua2	倚倚
ua2-un7	倚韻
ua3-he	化灰
ua3-iunn7	按樣
ua3-piah	按壁
ua3-thiu	按抽
ua7-tik8	瓦特
uah8-bah	活肉
uah8-bak8	活目
uah8-beh	活欲
uah8-bue7	活賣
uah8-but8	活物
uah8-gan2	活眼
uah8-giap8	活業
uah8-he2	活火
uah8-he7	活會
uah8-hiat8	活穴
uah8-hue7	活會
uah8-huih	活血
uah8-hut8	活佛
uah8-ing7	活用
uah8-ji7	活字
uah8-kat	活結
uah8-khau3	活扣
uah8-khau3	活釦
uah8-khui3	活氣
uah8-ki5	活期
uah8-kin	活根
uah8-kui2	活鬼
uah8-kun	活根
uah8-kut	活骨
uah8-lai7	活利
uah8-lang5	活人
uah8-lik8	活力
uah8-loo7	活路
uah8-mng5	活門
uah8-pan2	活版
uah8-phuat	活潑
uah8-po2	活寶
uah8-put8	活佛
uah8-san2	活產
uah8-sing3	活性
uah8-sng	活栓
uah8-tai5	活埋
uah8-tang7	活動
uah8-tauh	活啄
uah8-that	活窒
uah8-the2	活體
uah8-thiau3	活跳
uah8-tse3	活祭
uah8-tsinn5	活錢
uah8-tsong3	活葬
uah8-tsoo	活租
uah8-tsui2	活水
uah8-tsun5	活存
uah8-uah8	活活
uah8-ui	活衣
uai--lang5	歪--人
uai-am7	歪頷
uai-hong	歪瘋
uai-hong	歪風
uai-khiok	歪曲
uai-ko	歪哥
uai-loo7	歪路
uai-phinn7	歪鼻
uai-sim	歪心
uai-thau5	歪頭
uai-tshia5	歪斜
uai-tshuah8	歪tshua̍h
uai-tshuah8	歪斜
uai-uai	歪歪
uai-un5	歪勻
uainnh--tioh8	𨂿著
uainn-tsioh	彎借
uainn-uainn	汪汪
uainn-uainn	泱泱
uak8-uak8	ua̍k-ua̍k
uan--lang5	冤--人
uan-am7	冤頷
uan-gak8	冤獄
uan-hun5	冤魂
uan-iah	彎搤
uan-iunn	螉蠮
uan-iunn	鴛鴦
uan-khian	冤愆
uan-khiau	彎曲
uan-khiau	彎蹺
uan-khiok	彎曲
uan-khun5	彎蜷
uan-khut	冤屈
uan-kiong	彎弓
uan-kui2	冤鬼
uan-ong2	冤枉
uan-suann3	彎線
uan-to	彎刀
uan-tsing5	冤情
uan-uan	冤冤
uan-uan	彎彎
uan-uat	彎斡
uan2-gian5	婉言
uan2-he2	玩火
uan2-hue2	玩火
uan2-in	遠因
uan2-iunn5	遠洋
uan2-jian5	宛然
uan2-kheh	遠客
uan2-khuan3	婉勸
uan2-ki7	婉拒
uan2-kian3	遠見
uan2-kin7	遠近
uan2-king2	遠景
uan2-kun7	遠近
uan2-lai5	遠來
uan2-li5	遠離
uan2-li7	遠離
uan2-lik8	腕力
uan2-long7	玩弄
uan2-lu7	遠慮
uan2-si7	遠視
uan2-sia7	婉謝
uan2-siong2	玩賞
uan2-su5	婉辭
uan2-tai7	遠大
uan2-tau7	豌豆
uan2-te7	遠地
uan2-thiau3	遠眺
uan2-tong	遠東
uan2-tsau2	遠走
uan2-tshu3	遠處
uan2-tsi3	遠志
uan2-tsing	遠征
uan2-tsiok	遠足
uan2-tsuan2	婉轉
uan2-tue7	遠地
uan3-hun7	怨恨
uan3-mia7	怨命
uan3-siann	怨聲
uan3-sin	怨身
uan3-te2	怨底
uan3-thinn	怨天
uan3-too3	怨妒
uan3-tue2	怨底
uan3-tue7	怨地
uan5-a2	丸仔
uan5-a2	原仔
uan5-a7	原也
uan5-bang7	圓夢
uan5-bang7	完夢
uan5-bi2	完美
uan5-bing5	完明
uan5-ge7	園藝
uan5-hiong3	完餉
uan5-ho2	完好
uan5-hun	完婚
uan5-in2	援引
uan5-kang	員工
uan5-king2	員警
uan5-lap8	完納
uan5-liau2	完了
uan5-lim5	員林
uan5-lim5	園林
uan5-mng5	圓門
uan5-nia2	圓領
uan5-phang5	圓篷
uan5-phing3	完聘
uan5-phun5	完盆
uan5-pi7	完備
uan5-pit	完畢
uan5-po2	圓寶
uan5-sian7	完善
uan5-siau3	完賬
uan5-thong	圓通
uan5-tshak8	圓鑿
uan5-tshe	員差
uan5-tshing	完清
uan5-tsik8	圓寂
uan5-tsing2	完整
uan5-tsip8	圓寂
uan5-tsuan5	完全
uan5-tuann	完單
uan5-tue5	圓蹄
uan5-ue7	圓話
uan5-ue7	完話
uan7-hing5	緩刑
uan7-iong7	援用
uan7-jit8	緩日
uan7-ki5	緩期
uan7-ping	緩兵
uan7-si5	緩時
uan7-uan7	緩緩
uang-kuah	嚾葛
uang-uang	汪汪
uann-hai2	安海
uann-pinn	垵邊
uann-uann	呱呱
uann2-a2	碗仔
uann2-be2	碗尾
uann2-bue2	碗尾
uann2-giah8	碗額
uann2-ioh8	碗藥
uann2-kinn5	碗墘
uann2-ko	碗糕
uann2-kong	碗公
uann2-ku	碗龜
uann2-kue2	碗粿
uann2-lo5	碗鑼
uann2-puann5	碗盤
uann2-tau2	碗斗
uann2-te2	碗底
uann2-thau5	碗頭
uann2-thng7	碗碭
uann2-tsai5	碗臍
uann2-tshui3	碗嘴
uann2-tshui3	碗碎
uann2-tsuann5	碗殘
uann2-tu5	碗櫥
uann2-tu7	碗箸
uann2-tue2	碗底
uann2-tun5	碗唇
uann2-u	碗窩
uann3-hun	晏婚
uann3-kau3	晏到
uann3-khui	晏開
uann3-lai5	晏來
uann3-tiam2	晏點
uann3-toh	案桌
uann7-ang5	換紅
uann7-bin7	換面
uann7-gun5	換銀
uann7-hang5	換行
uann7-hok8	換服
uann7-hong5	換防
uann7-hue	換花
uann7-ioh8	換藥
uann7-iok	換約
uann7-jim7	換任
uann7-kang	換工
uann7-khi2	換齒
uann7-khi3	換氣
uann7-khuan2	換款
uann7-king	換肩
uann7-king	換間
uann7-kui3	換季
uann7-lai5	換來
uann7-lang5	換人
uann7-mia5	換名
uann7-moo	換毛
uann7-ni5	換年
uann7-pai2	換擺
uann7-pan	換班
uann7-pan2	換版
uann7-ping5	換爿
uann7-sann	換衫
uann7-si	換絲
uann7-sin	換新
uann7-sinn3	換姓
uann7-sng3	換算
uann7-tang	換冬
uann7-tang	旱冬
uann7-tau2	換斗
uann7-te5	換題
uann7-thiap	換帖
uann7-thinn	旱天
uann7-tiau5	換朝
uann7-tiau7	換掉
uann7-tng2	換轉
uann7-too5	換途
uann7-too7	換肚
uann7-tsai	換栽
uann7-tse7	換坐
uann7-tshia	換車
uann7-tshui3	換嘴
uann7-tshut	換齣
uann7-tsiah8	換食
uann7-tsing3	換種
uann7-tsinn5	換錢
uann7-tso3	換做
uann7-tsong	換裝
uann7-tsu2	換主
uann7-tsue3	換做
uann7-tsun2	換準
uann7-ui7	換位
uat-kak	斡角
uat-kha	斡跤
uat-thau5	斡頭
uat-tng2	斡轉
uat-tsuat	斡拙
uat-uan	斡彎
uat-uat	斡斡
uat8-bin7	越面
uat8-im	越音
uat8-iunn5	越洋
uat8-jia2	越惹
uat8-ju2	越愈
uat8-kai3	越界
uat8-khu	越區
uat8-khuan2	越款
uat8-khuan5	越權
uat8-kiok8	越劇
uat8-kip	越級
uat8-kng3	閱卷
uat8-kuan5	越權
uat8-lam2	閱覽
uat8-lam5	越南
uat8-liam7	越唸
uat8-liam7	閱念
uat8-lu2	越愈
uat8-se	粵西
uat8-sia2	越寫
uat8-thok8	閱讀
uat8-tong	粵東
uat8-tsian3	越戰
uat8-tsik8	粵籍
uat8-tsok8	粵族
uat8-uat8	越越
ue--tioh8	挨--著
ue--to2	挨--倒
ue-a2	鍋仔
ue-beh8	挨麥
ue-ian5	挨延
ue-kang	挨工
ue-khueh	挨𤲍
ue-kua3	鍋蓋
ue-lang5	挨礱
ue-suah	挨煞
ue-sueh	偎揳
ue-the	挨推
ue-tshik	挨粟
ue-tship	挨緝
ue-tsiunn7	挨癢
ue-ue	挨挨
ue2-a2	矮仔
ue2-e5	矮的
ue2-i2	矮椅
ue2-ia5	矮爺
ue2-khoo3	矮寇
ue2-koo2	矮股
ue2-koo2	矮鼓
ue2-lang5	矮人
ue2-loo5	矮奴
ue2-pui5	矮肥
ue2-sue3	矮細
ue2-tng3	矮頓
ue2-tshiunn5	矮牆
ue3-khi3	穢氣
ue3-lang5	穢人
ue3-se3	穢世
ue3-sue3	穢涗
ue3-tioh8	穢著
ue5-bak8	鞋墨
ue5-beh8	鞋襪
ue5-bin2	鞋抿
ue5-bin7	鞋面
ue5-giap8	鞋業
ue5-iu5	鞋油
ue5-iunn7	鞋樣
ue5-li2	鞋裡
ue5-lui7	鞋類
ue5-phe	鞋胚
ue5-phinn7	鞋鼻
ue5-puih8	鞋拔
ue5-thau5	鞋頭
ue5-thueh8	鞋提
ue5-tho3	鞋套
ue5-thua	鞋拖
ue5-thueh	鞋替
ue5-tiam	鞋砧
ue5-tiam3	鞋店
ue5-tinn	鞋蹬
ue5-tshan3	鞋襯
ue5-tsheh	鞋冊
ue5-tshiu	鞋鬚
ue5-tshiunn2	鞋廠
ue5-tshiunn5	鞋牆
ue5-tshue5	捱摧
ue5-tsu7	鞋苴
ue5-tua3	鞋帶
ue5-tue2	鞋底
ue7-bai5	畫眉
ue7-be2	話尾
ue7-bian2	衛冕
ue7-bo2	話母
ue7-bue2	話尾
ue7-gua7	話外
ue7-hiang2	會hiáng
ue7-hiau2	會曉
ue7-hing3	話興
ue7-ho7	畫號
ue7-huat	劃法
ue7-huat	話法
ue7-hue7	畫會
ue7-hun	劃分
ue7-hun	畫分
ue7-i3	話意
ue7-ik8	衛浴
ue7-in2	話引
ue7-it	劃一
ue7-jin5	話仁
ue7-ka	畫家
ue7-kai3	劃界
ue7-khi2	會起
ue7-khi3	會去
ue7-khiunn	話腔
ue7-khuan2	話款
ue7-ki	話機
ue7-kiok8	話劇
ue7-kuan	話關
ue7-kui	劃歸
ue7-kun	話根
ue7-kut	話骨
ue7-lai5	會來
ue7-li7	會離
ue7-liau2	會了
ue7-lin5	話仁
ue7-loh8	會落
ue7-long5	畫廊
ue7-mng5	話門
ue7-phoh	話粕
ue7-pit	畫筆
ue7-po3	畫報
ue7-poo3	畫布
ue7-puah	劃撥
ue7-sat	話蝨
ue7-seh	話說
ue7-sian	畫仙
ue7-sian	話仙
ue7-sik	畫室
ue7-sing	衛星
ue7-sing	衛生
ue7-sing5	會成
ue7-siong	畫商
ue7-siong7	畫像
ue7-sng	話栓
ue7-sng	話閂
ue7-sng3	會算
ue7-suann3	畫線
ue7-sueh	話說
ue7-tang3	會當
ue7-tang3	會凍
ue7-tang5	話筒
ue7-te5	話題
ue7-thau5	話頭
ue7-the2	話體
ue7-tian2	畫展
ue7-tiau5	會牢
ue7-tiau7	話調
ue7-ting7	劃定
ue7-tioh8	會著
ue7-tit	會得
ue7-to2	會倒
ue7-to7	衛道
ue7-too5	畫圖
ue7-tse7	話儕
ue7-tsheh	畫冊
ue7-tshenn	衛星
ue7-tshenn	話星
ue7-tshinn	衛星
ue7-tshinn	話星
ue7-tshiu	話鬚
ue7-tshut	劃出
ue7-tshut	會出
ue7-tshut	畫出
ue7-tsiam	話尖
ue7-tsio2	話少
ue7-tsng	畫妝
ue7-tsua2	畫紙
ue7-tsua7	畫逝
ue7-tsue7	話儕
ue7-tu7	話注
ue7-tuan	話端
ue7-tue5	話題
ue7-tui7	衛隊
ueh8-khueh	狹𤲍
ueh8-sio2	狹小
ueh8-sue3	狹細
ueh8-sueh	狹塞
ueh8-thiu	狹抽
ueh8-tng5	狹長
ueh8-tsik	狹窄
ueh8-tsinn	狹櫼
ueh8-tueh8	狹迭
ui-ang3	衣甕
ui-bong7	威望
ui-bu2	威武
ui-giam5	威嚴
ui-hiap8	威脅
ui-hik	威嚇
ui-hing5	威形
ui-hok8	威服
ui-hong	威風
ui-iah	揻搤
ui-ke3	衣架
ui-khang	揻孔
ui-kuan5	威權
ui-liam5	威廉
ui-lik8	威力
ui-ling5	威靈
ui-nia2	揻領
ui-pik	威逼
ui-se3	威勢
ui-sin3	威信
ui-sit8	衣食
ui-tik	威德
ui-tua3	ui帶
ui-tua3	衣帶
ui-ui	揻揻
ui2-guan5	委員
ui2-jim7	委任
ui2-jin5	偉人
ui2-pan7	委辦
ui2-phai3	委派
ui2-tai7	偉大
ui2-thok	委託
ui2-to5	韋馱
ui2-tsik	偉績
ui2-tsiok	委囑
ui2-uan2	委婉
ui2-uan5	委員
ui3-bian2	慰勉
ui3-boo2	畏某
ui3-bua5	畏磨
ui3-bun7	慰問
ui3-hiann2	畏嚇
ui3-hiann2	畏顯
ui3-hong	畏風
ui3-huan5	畏煩
ui3-jia2	畏惹
ui3-juah8	畏熱
ui3-khu7	畏懼
ui3-khueh8	畏挾
ui3-ki7	畏忌
ui3-kiann	畏驚
ui3-kinn3	畏見
ui3-kong2	畏講
ui3-kuann5	畏寒
ui3-lan2	畏懶
ui3-lang5	畏人
ui3-ling2	畏冷
ui3-liu5	慰留
ui3-lo5	慰勞
ui3-ngiau	畏ngiau
ui3-si2	畏死
ui3-siok	畏縮
ui3-su7	畏事
ui3-thiann3	畏痛
ui3-too5	畏途
ui3-tshui3	ui嘴3
ui3-tshui3	飫嘴
ui3-tsia	對遮
ui3-tsue3	畏做
ui3-tsue7	畏罪
ui3-ui	畏威
ui3-ui3	畏畏
ui5-ai3	遺愛
ui5-be2	桅尾
ui5-bi2	唯美
ui5-bing7	違命
ui5-bing7	遺命
ui5-boo7	帷幕
ui5-but8	遺物
ui5-gan5	遺言
ui5-gian5	遺言
ui5-giap8	遺業
ui5-gik8	違背。
ui5-hai5	遺骸
ui5-hai7	為害
ui5-hak8	為學
ui5-ham7	遺憾
ui5-han7	為限
ui5-hian3	違憲
ui5-hong	圍風
ui5-hong	遺風
ui5-huan2	違反
ui5-huan7	違犯
ui5-huann7	圍岸
ui5-huat	違法
ui5-hun3	遺訓
ui5-hun7	遺恨
ui5-iak	違約
ui5-ing5	為榮
ui5-iok	違約
ui5-iong5	遺容
ui5-it	唯一
ui5-iu2	唯有
ui5-jiah	遺跡
ui5-jin5	為人
ui5-jio7	遺尿
ui5-kai3	為界
ui5-kam3	為鑑
ui5-kau3	遺教
ui5-khi3	遺棄
ui5-khong3	違抗
ui5-khoo	圍箍
ui5-khun3	圍困
ui5-ki3	為記
ui5-ki5	圍棋
